Date (UTC),Timestamp (UTC),<1.0%,1.0–1.5%,1.5–2.0%,2.0–2.5%,2.5–3.0%,3.0–3.5%,≥3.5%
12-28-2025 11:00,1766919600,0.075,0.27,0.18,0.16,0.16,0.155,0.155
12-28-2025 12:00,1766923200,0.12,0.265,0.18,0.16,0.165,0.155,0.155
12-28-2025 13:00,1766926800,0.105,0.255,0.18,0.16,0.16,0.215,0.18
12-28-2025 14:00,1766930400,0.12,0.265,0.18,0.16,0.14,0.175,0.145
12-28-2025 15:00,1766934000,0.115,0.275,0.195,0.16,0.15,0.165,0.145
12-28-2025 16:00,1766937600,0.11,0.27,0.185,0.16,0.155,0.165,0.145
12-28-2025 17:00,1766941200,0.11,0.275,0.19,0.16,0.135,0.165,0.145
12-28-2025 18:00,1766944800,0.1,0.28,0.195,0.16,0.15,0.165,0.145
12-28-2025 19:00,1766948400,0.1,0.29,0.195,0.16,0.13,0.165,0.145
12-28-2025 20:00,1766952000,0.1,0.31,0.18,0.16,0.13,0.165,0.145
12-28-2025 21:00,1766955600,0.105,0.295,0.195,0.16,0.14,0.165,0.145
12-28-2025 22:00,1766959200,0.1,0.29,0.175,0.16,0.135,0.165,0.145
12-28-2025 23:00,1766962800,0.1,0.305,0.195,0.16,0.135,0.165,0.145
12-29-2025 00:00,1766966400,0.1,0.28,0.18,0.16,0.135,0.165,0.145
12-29-2025 02:00,1766973600,0.1,0.305,0.18,0.16,0.135,0.165,0.145
12-29-2025 03:00,1766977200,0.1,0.3,0.18,0.16,0.14,0.165,0.145
12-29-2025 04:00,1766980800,0.1,0.265,0.18,0.16,0.135,0.165,0.145
12-29-2025 05:00,1766984400,0.1,0.3,0.18,0.16,0.13,0.165,0.145
12-29-2025 06:00,1766988000,0.125,0.28,0.18,0.16,0.135,0.165,0.145
12-29-2025 07:00,1766991600,0.115,0.245,0.18,0.16,0.15,0.165,0.145
12-29-2025 08:00,1766995200,0.1,0.26,0.18,0.165,0.165,0.165,0.145
12-29-2025 09:00,1766998800,0.1,0.25,0.18,0.16,0.18,0.155,0.145
12-29-2025 10:00,1767002400,0.115,0.21,0.21,0.155,0.165,0.135,0.135
12-29-2025 11:00,1767006000,0.105,0.21,0.18,0.165,0.145,0.135,0.135
12-29-2025 12:00,1767009600,0.12,0.225,0.205,0.165,0.14,0.135,0.135
12-29-2025 13:00,1767013200,0.13,0.21,0.19,0.16,0.175,0.135,0.135
12-29-2025 14:00,1767016800,0.125,0.22,0.205,0.16,0.165,0.135,0.135
12-29-2025 15:00,1767020400,0.125,0.215,0.21,0.165,0.15,0.135,0.135
12-29-2025 16:00,1767024000,0.125,0.245,0.205,0.16,0.145,0.135,0.135
12-29-2025 17:00,1767027600,0.1,0.295,0.18,0.16,0.17,0.135,0.135
12-29-2025 18:00,1767031200,0.11,0.27,0.18,0.165,0.195,0.135,0.135
12-29-2025 19:00,1767034800,0.11,0.225,0.18,0.16,0.185,0.135,0.135
12-29-2025 20:00,1767038400,0.105,0.235,0.18,0.165,0.185,0.135,0.135
