field_id,release_datetime_et,event,event_base_matched,A,C,raw_surprise
ppi,2010-10-14 08:30:00,PPI (MoM),PPI (MoM),0.4,0.2,0.2
retail_sales,2010-10-15 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.6,0.4,0.19999999999999996
industrial_production,2010-10-18 09:15:00,Industrial Production (MoM),Industrial Production (MoM),-0.2,0.2,-0.4
building_permits,2010-10-19 08:30:00,Building Permits,Building Permits,540000.0,580000.0,-40000.0
housing_starts,2010-10-19 08:30:00,Housing Starts,Housing Starts,610000.0,590000.0,20000.0
existing_home_sales,2010-10-25 10:00:00,Existing Home Sales,Existing Home Sales,4530000.0,4250000.0,280000.0
durable_goods,2010-10-27 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),3.3,1.7,1.5999999999999999
new_home_sales,2010-10-27 10:00:00,New Home Sales,New Home Sales,307000.0,300000.0,7000.0
real_gdp_advance,2010-10-29 08:30:00,GDP (QoQ),GDP (QoQ),2.0,2.0,0.0
ism_manufacturing,2010-11-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,56.9,53.6,3.299999999999997
ism_services,2010-11-03 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,54.3,53.6,0.6999999999999957
nonfarm_payrolls,2010-11-05 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,151000.0,60000.0,91000.0
unemployment_rate,2010-11-05 08:30:00,Unemployment Rate,Unemployment Rate,9.6,9.6,0.0
retail_sales,2010-11-15 08:30:00,Retail Sales (MoM),Retail Sales (MoM),1.2,0.7,0.5
ppi,2010-11-16 08:30:00,PPI (MoM),PPI (MoM),0.4,0.8,-0.4
industrial_production,2010-11-16 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.0,0.3,-0.3
building_permits,2010-11-17 08:30:00,Building Permits,Building Permits,550000.0,570000.0,-20000.0
housing_starts,2010-11-17 08:30:00,Housing Starts,Housing Starts,520000.0,600000.0,-80000.0
real_gdp_advance,2010-11-23 08:30:00,GDP (QoQ),GDP (QoQ),2.5,2.4,0.10000000000000009
existing_home_sales,2010-11-23 10:00:00,Existing Home Sales,Existing Home Sales,4430000.0,4420000.0,10000.0
durable_goods,2010-11-24 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),-3.3,-0.3,-3.0
new_home_sales,2010-11-24 10:00:00,New Home Sales,New Home Sales,283000.0,312000.0,-29000.0
ism_manufacturing,2010-12-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,56.6,56.4,0.20000000000000284
nonfarm_payrolls,2010-12-03 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,39000.0,140000.0,-101000.0
unemployment_rate,2010-12-03 08:30:00,Unemployment Rate,Unemployment Rate,9.8,9.6,0.20000000000000107
ism_services,2010-12-03 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,55.0,54.5,0.5
ppi,2010-12-14 08:30:00,PPI (MoM),PPI (MoM),0.8,0.5,0.30000000000000004
retail_sales,2010-12-14 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.8,0.5,0.30000000000000004
industrial_production,2010-12-15 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.4,0.3,0.10000000000000003
building_permits,2010-12-16 08:30:00,Building Permits,Building Permits,530000.0,570000.0,-40000.0
housing_starts,2010-12-16 08:30:00,Housing Starts,Housing Starts,560000.0,550000.0,10000.0
real_gdp_advance,2010-12-22 08:30:00,GDP (QoQ),GDP (QoQ),2.6,2.7,-0.10000000000000009
existing_home_sales,2010-12-22 10:00:00,Existing Home Sales,Existing Home Sales,4680000.0,4750000.0,-70000.0
durable_goods,2010-12-23 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),-1.3,-1.0,-0.30000000000000004
new_home_sales,2010-12-23 10:00:00,New Home Sales,New Home Sales,290000.0,303000.0,-13000.0
ism_manufacturing,2011-01-03 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,57.0,57.3,-0.29999999999999716
ism_services,2011-01-05 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,57.1,55.7,1.3999999999999986
nonfarm_payrolls,2011-01-07 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,103000.0,150000.0,-47000.0
unemployment_rate,2011-01-07 08:30:00,Unemployment Rate,Unemployment Rate,9.4,9.7,-0.29999999999999893
ppi,2011-01-13 08:30:00,PPI (MoM),PPI (MoM),1.1,0.7,0.40000000000000013
